player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,incidentType,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,goalType,blockCoordinates
"{'name': 'Diego Armando Maradona', 'slug': 'diego-armando-maradona', 'shortName': 'D. Maradona', 'position': 'M', 'userCount': 1981, 'sofascoreId': 'znsesd', 'id': 797157, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو أرماندو مارادونا', 'bn': 'দিয়েগো আরমান্দো ম্যারাডোনা', 'hi': 'डिएगो आर्मंडो माराडोना', 'ru': 'Диего Армандо Марадона'}, 'shortNameTranslation': {'ar': 'د. مارادونا', 'bn': 'ডি. ম্যারাডোনা', 'hi': 'डी. माराडोना', 'ru': 'Д. Марадона'}}}",True,block,fast-break,"{'x': 15.6, 'y': 35.4, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 19}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294556,37,2165,"{'start': {'x': 35.4, 'y': 15.6}, 'block': {'x': 37.9, 'y': 12.7}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 81}}",shot,9,535,2165,,"{'x': 12.7, 'y': 37.9, 'z': 0}"
"{'name': 'Diego Armando Maradona', 'slug': 'diego-armando-maradona', 'shortName': 'D. Maradona', 'position': 'M', 'userCount': 1981, 'sofascoreId': 'znsesd', 'id': 797157, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو أرماندو مارادونا', 'bn': 'দিয়েগো আরমান্দো ম্যারাডোনা', 'hi': 'डिएगो आर्मंडो माराडोना', 'ru': 'Диего Армандо Марадона'}, 'shortNameTranslation': {'ar': 'د. مارادونا', 'bn': 'ডি. ম্যারাডোনা', 'hi': 'डी. माराडोना', 'ru': 'Д. Марадона'}}}",True,block,free-kick,"{'x': 21.6, 'y': 73.2, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.7, 'z': 19}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294555,35,2043,"{'start': {'x': 73.2, 'y': 21.6}, 'block': {'x': 68.1, 'y': 17.5}, 'end': {'x': 46.3, 'y': 0}, 'goal': {'x': 46.3, 'y': 81}}",shot,11,657,2043,,"{'x': 17.5, 'y': 68.1, 'z': 0}"
"{'name': 'Diego Armando Maradona', 'slug': 'diego-armando-maradona', 'shortName': 'D. Maradona', 'position': 'M', 'userCount': 1981, 'sofascoreId': 'znsesd', 'id': 797157, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو أرماندو مارادونا', 'bn': 'দিয়েগো আরমান্দো ম্যারাডোনা', 'hi': 'डिएगो आर्मंडो माराडोना', 'ru': 'Диего Армандо Марадона'}, 'shortNameTranslation': {'ar': 'د. مارادونا', 'bn': 'ডি. ম্যারাডোনা', 'hi': 'डी. माराडोना', 'ru': 'Д. Марадона'}}}",True,miss,free-kick,"{'x': 20.9, 'y': 59.7, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.9, 'z': 13.9}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294554,33,1937,"{'start': {'x': 59.7, 'y': 20.9}, 'end': {'x': 57.1, 'y': 0}, 'goal': {'x': 57.1, 'y': 86.1}}",shot,13,763,1937,,
"{'name': 'Peter Beardsley', 'firstName': '', 'lastName': '', 'slug': 'peter-beardsley', 'shortName': 'P. Beardsley', 'position': 'F', 'userCount': 2, 'sofascoreId': 'zb8m6y', 'id': 1420677, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بيردسلي', 'ru': 'Питер Бирдсли'}, 'shortNameTranslation': {'ar': 'ب. بيردسلي', 'ru': 'П. Бирдсли'}}}",False,block,regular,"{'x': 15.4, 'y': 60.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.1, 'z': 19}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294553,25,1442,"{'start': {'x': 60.9, 'y': 15.4}, 'block': {'x': 58.5, 'y': 12}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 81}}",shot,21,1258,1442,,"{'x': 12, 'y': 58.5, 'z': 0}"
"{'name': 'Héctor Enrique', 'firstName': '', 'lastName': '', 'slug': 'hector-enrique', 'shortName': 'H. Enrique', 'position': 'M', 'userCount': 4, 'sofascoreId': 'snyidy', 'id': 1420560, 'fieldTranslations': {'nameTranslation': {'ar': 'هيكتور إنريكي', 'ru': 'Эктор Энрике'}, 'shortNameTranslation': {'ar': 'ه. إنريكي', 'ru': 'Э. Энрике'}}}",True,block,assisted,"{'x': 29.3, 'y': 76.5, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 54.3, 'z': 20.8}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294552,19,1115,"{'start': {'x': 76.5, 'y': 29.3}, 'block': {'x': 63.4, 'y': 15.5}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 79.2}}",shot,27,1585,1115,,"{'x': 15.5, 'y': 63.4, 'z': 0}"
"{'name': 'Ricardo Giusti', 'firstName': '', 'lastName': '', 'slug': 'ricardo-giusti', 'shortName': 'R. Giusti', 'position': 'M', 'userCount': 1, 'sofascoreId': 'ekb9su', 'id': 1420552, 'fieldTranslations': {'nameTranslation': {'ar': 'ريكاردو جيوستي', 'ru': 'Рикардо Джусти'}, 'shortNameTranslation': {'ar': 'ر. جيوستي', 'ru': 'Р. Джусти'}}}",True,block,corner,"{'x': 22.6, 'y': 59.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 19}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294551,18,1057,"{'start': {'x': 59.9, 'y': 22.6}, 'block': {'x': 57.9, 'y': 18.4}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81}}",shot,28,1643,1057,,"{'x': 18.4, 'y': 57.9, 'z': 0}"
"{'name': 'Héctor Enrique', 'firstName': '', 'lastName': '', 'slug': 'hector-enrique', 'shortName': 'H. Enrique', 'position': 'M', 'userCount': 4, 'sofascoreId': 'snyidy', 'id': 1420560, 'fieldTranslations': {'nameTranslation': {'ar': 'هيكتور إنريكي', 'ru': 'Эктор Энрике'}, 'shortNameTranslation': {'ar': 'ه. إنريكي', 'ru': 'Э. Энрике'}}}",True,block,assisted,"{'x': 28.2, 'y': 36.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 9.7}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294550,16,923,"{'start': {'x': 36.5, 'y': 28.2}, 'block': {'x': 39.3, 'y': 19.8}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 90.3}}",shot,30,1777,923,,"{'x': 19.8, 'y': 39.3, 'z': 0}"
"{'name': 'Peter Beardsley', 'firstName': '', 'lastName': '', 'slug': 'peter-beardsley', 'shortName': 'P. Beardsley', 'position': 'F', 'userCount': 2, 'sofascoreId': 'zb8m6y', 'id': 1420677, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بيردسلي', 'ru': 'Питер Бирдсли'}, 'shortNameTranslation': {'ar': 'ب. بيردسلي', 'ru': 'П. Бирдсли'}}}",False,miss,regular,"{'x': 8.9, 'y': 93.9, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 43.1, 'z': 23.6}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294549,13,727,"{'start': {'x': 93.9, 'y': 8.9}, 'end': {'x': 56.9, 'y': 0}, 'goal': {'x': 56.9, 'y': 76.4}}",shot,33,1973,727,,
"{'name': 'Oscar Ruggeri', 'firstName': '', 'lastName': '', 'slug': 'oscar-ruggeri', 'shortName': 'O. Ruggeri', 'position': 'D', 'userCount': 14, 'sofascoreId': 'zb8m94', 'id': 1420549, 'fieldTranslations': {'nameTranslation': {'ar': 'أوسكار روجيري', 'ru': 'Оскар Ругерри'}, 'shortNameTranslation': {'ar': 'أ. روجيري', 'ru': 'О. Ругерри'}}}",True,miss,assisted,"{'x': 9.8, 'y': 51.1, 'z': 0}",head,high-left,"{'x': 0, 'y': 76.8, 'z': 68.1}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294548,11,600,"{'start': {'x': 51.1, 'y': 9.8}, 'end': {'x': 23.2, 'y': 0}, 'goal': {'x': 23.2, 'y': 31.9}}",shot,35,2100,600,,
"{'name': 'Diego Armando Maradona', 'slug': 'diego-armando-maradona', 'shortName': 'D. Maradona', 'position': 'M', 'userCount': 1981, 'sofascoreId': 'znsesd', 'id': 797157, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو أرماندو مارادونا', 'bn': 'দিয়েগো আরমান্দো ম্যারাডোনা', 'hi': 'डिएगो आर्मंडो माराडोना', 'ru': 'Диего Армандо Марадона'}, 'shortNameTranslation': {'ar': 'د. مارادونا', 'bn': 'ডি. ম্যারাডোনা', 'hi': 'डी. माराडोना', 'ru': 'Д. Марадона'}}}",True,save,free-kick,"{'x': 24.4, 'y': 70.7, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 52.8, 'z': 27.8}","{'name': 'Peter Shilton', 'firstName': '', 'lastName': '', 'slug': 'peter-shilton', 'shortName': 'P. Shilton', 'position': 'G', 'userCount': 14, 'sofascoreId': 'g8dpy4', 'id': 1420225, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر شيلتون', 'ru': 'Питер Шилтон'}, 'shortNameTranslation': {'ar': 'ب. شيلتون', 'ru': 'П. Шилтон'}}}",7294547,10,556,"{'start': {'x': 70.7, 'y': 24.4}, 'block': {'x': 50.5, 'y': 2.7}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 72.2}}",shot,36,2144,556,,"{'x': 2.7, 'y': 50.5, 'z': 0}"
"{'name': 'Terry Fenwick', 'firstName': '', 'lastName': '', 'slug': 'terry-fenwick', 'shortName': 'T. Fenwick', 'position': 'D', 'userCount': 1, 'sofascoreId': '8jqatv', 'id': 1420672, 'fieldTranslations': {'nameTranslation': {'ar': 'تيري فينووك', 'ru': 'Терри Фенвик'}, 'shortNameTranslation': {'ar': 'ت. فينووك', 'ru': 'Т. Фенвик'}}}",False,miss,throw-in-set-piece,"{'x': 28.4, 'y': 40.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 39.7, 'z': 91.7}","{'name': 'Nery Pumpido', 'firstName': '', 'lastName': '', 'slug': 'nery-pumpido', 'shortName': 'N. Pumpido', 'position': 'G', 'userCount': 10, 'sofascoreId': 'ekb47a', 'id': 1420008, 'fieldTranslations': {'nameTranslation': {'ar': 'نيري بومبيدو', 'ru': 'Нери Пумпидо'}, 'shortNameTranslation': {'ar': 'ن. بومبيدو', 'ru': 'Н. Пумпидо'}}}",7294546,7,404,"{'start': {'x': 40.1, 'y': 28.4}, 'end': {'x': 60.3, 'y': 0}, 'goal': {'x': 60.3, 'y': 8.3}}",shot,39,2296,404,,
