name,firstName,lastName,slug,shortName,position,height,userCount,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,fieldTranslations,jerseyNumber,gender,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,totalTackle,wonTackle,fouls,aerialLost,aerialWon,interceptionWon,keyPass,wasFouled,totalCross,dispossessed,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,accurateCross,goals,totalOffside,hitWoodwork,bigChanceMissed,teamName,captain
Jorge Valdano,,,jorge-valdano,J. Valdano,F,188.0,18,jv4y29,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420003,EUR,-449539200,"{'nameTranslation': {'ar': 'خورخي فالدانوا', 'ru': 'Хорхе Вальдано'}, 'shortNameTranslation': {'ar': 'خ. فالدانوا', 'ru': 'Х. Вальдано'}}",,,4819,11,11,F,False,19.0,10.0,1.0,,0.0,3.0,4.0,7.0,15.0,1.0,,3.0,,,,90.0,41.0,6.6,20.0,"{'original': 6.6, 'alternative': 6.6}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12.0,10.0,1.0,3.0,2.0,,3.0,1.0,,,1.0,3.0,6.0,,,3.0,1.0,6.0,,,,,,1.0,,,Argentina,
Carlos Tapia,,,carlos-tapia,C. Tapia,M,173.0,2,n5cwqi,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420562,EUR,-232502400,"{'nameTranslation': {'ar': 'كارلوس تابيا', 'ru': 'Карлос Тапия'}, 'shortNameTranslation': {'ar': 'ك. تابيا', 'ru': 'К. Тапия'}}",,,4819,20,20,M,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,,,,,,14.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': 6.7}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,Argentina,
Luis Islas,,,luis-islas,L. Islas,G,189.0,3,wrp2uf,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420557,EUR,-127094400,"{'nameTranslation': {'ar': 'لويس إيسلاس', 'ru': 'Луис Ислас'}, 'shortNameTranslation': {'ar': 'ل. إيسلاس', 'ru': 'Л. Ислас'}}",,,4819,15,15,G,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Héctor Zelada,,,hector-zelada,H. Zelada,G,178.0,2,iwf4vd,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420559,EUR,-399945600,"{'nameTranslation': {'ar': 'هيكتور زيلادا', 'ru': 'Эктор Зелада'}, 'shortNameTranslation': {'ar': 'ه. زيلادا', 'ru': 'Э. Зелада'}}",,,4819,22,22,G,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Néstor Clausen,,,nestor-clausen,N. Clausen,D,176.0,1,jv46x3,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420547,EUR,-229046400,"{'nameTranslation': {'ar': 'نيستور كلاوسن', 'ru': 'Нестор Клаусен'}, 'shortNameTranslation': {'ar': 'ن. كلاوسن', 'ru': 'Н. Клаусен'}}",,,4819,8,8,D,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Oscar Garré,,,oscar-garre,O. Garré,D,175.0,1,fpks22,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420550,EUR,-412214400,"{'nameTranslation': {'ar': 'أوسكار غاري', 'ru': 'Оскар Гарре'}, 'shortNameTranslation': {'ar': 'أ. غاري', 'ru': 'О. Гарре'}}",,,4819,13,13,D,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Daniel Passarella,,,daniel-passarella,D. Passarella,D,173.0,86,km72ds,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1419741,EUR,-524016000,"{'nameTranslation': {'ar': 'دانييل باساريلا', 'ru': 'Даниэль Пасарелла'}, 'shortNameTranslation': {'ar': 'د. باساريلا', 'ru': 'Д. Пасарелла'}}",,,4819,6,6,D,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Claudio Borghi,,,claudio-borghi,C. Borghi,M,181.0,5,wrp2ub,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420558,EUR,-165974400,"{'nameTranslation': {'ar': 'كلوديو بورغي', 'ru': 'Клаудио Борги'}, 'shortNameTranslation': {'ar': 'ك. بورغي', 'ru': 'К. Борги'}}",,,4819,4,4,M,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Marcelo Trobbiani,,,marcelo-trobbiani,M. Trobbiani,M,175.0,1,vu2gzp,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420555,EUR,-469324800,"{'nameTranslation': {'ar': 'مارسيلو تروبياني', 'ru': 'Марсело Тробиани'}, 'shortNameTranslation': {'ar': 'م. تروبياني', 'ru': 'М. Тробиани'}}",,,4819,21,21,M,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Ricardo Bochini,,,ricardo-bochini,R. Bochini,M,168.0,14,uth8bi,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",1420563,EUR,-502848000,"{'nameTranslation': {'ar': 'ريكاردو بوتشيني', 'ru': 'Рикардо Бочини'}, 'shortNameTranslation': {'ar': 'ر. بوتشيني', 'ru': 'Р. Бочини'}}",,,4819,3,3,M,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
