name,firstName,lastName,slug,shortName,position,height,userCount,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,fieldTranslations,jerseyNumber,gender,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,totalTackle,wonTackle,fouls,aerialLost,aerialWon,interceptionWon,keyPass,wasFouled,totalCross,dispossessed,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,accurateCross,goals,totalOffside,hitWoodwork,bigChanceMissed,teamName,captain
Steve Hodge,,,steve-hodge,S. Hodge,M,170.0,0,8jqatd,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420681,EUR,-226800000,"{'nameTranslation': {'ar': 'ستيف هودج', 'ru': 'Стив Ходж'}, 'shortNameTranslation': {'ar': 'س. هودج', 'ru': 'С. Ходж'}}",,,4713,18,18,M,False,13.0,10.0,,,0.0,3.0,4.0,7.0,9.0,1.0,,1.0,,,,90.0,31.0,7.0,7.0,"{'original': 7, 'alternative': 7}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,7.0,1.0,3.0,2.0,,3.0,,4.0,3.0,3.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,England,
Peter Beardsley,,,peter-beardsley,P. Beardsley,F,173.0,2,zb8m6y,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420677,EUR,-282528000,"{'nameTranslation': {'ar': 'بيتر بيردسلي', 'ru': 'Питер Бирдсли'}, 'shortNameTranslation': {'ar': 'ب. بيردسلي', 'ru': 'П. Бирдсли'}}",,,4713,20,20,F,False,17.0,13.0,1.0,1.0,0.0,3.0,3.0,10.0,14.0,4.0,,4.0,,,,90.0,36.0,6.7,14.0,"{'original': 6.7, 'alternative': 6.7}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",9.0,4.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,England,
Gary Lineker,,,gary-lineker,G. Lineker,F,180.0,61,jv46dt,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420675,EUR,-286761600,"{'nameTranslation': {'ar': 'غاري لينكر', 'ru': 'Гэри Линекер'}, 'shortNameTranslation': {'ar': 'غ. لينكر', 'ru': 'Г. Линекер'}}",,,4713,10,10,F,False,8.0,6.0,,,0.0,2.0,3.0,4.0,5.0,1.0,,3.0,,,,90.0,17.0,7.0,5.0,"{'original': 7, 'alternative': 7}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",10.0,2.0,,,,,,,,,1.0,9.0,,1.0,,2.0,,,1.0,,1.0,,1.0,5.0,,,England,
Chris Waddle,,,chris-waddle,C. Waddle,M,188.0,4,g8d7ur,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420673,EUR,-285552000,"{'nameTranslation': {'ar': 'كريس وادل', 'ru': 'Крис Уэддл'}, 'shortNameTranslation': {'ar': 'ك. وادل', 'ru': 'К. Уэддл'}}",,,4713,11,11,M,True,2.0,,,,0.0,,,,2.0,,,,,,,25.0,10.0,6.3,8.0,"{'original': 6.3, 'alternative': 6.3}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,1.0,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,England,
John Barnes,,,john-barnes,J. Barnes,F,181.0,14,wrp257,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420685,EUR,-194140800,"{'nameTranslation': {'ar': 'جون بارنز', 'ru': 'Джон Барнс'}, 'shortNameTranslation': {'ar': 'ج. بارنز', 'ru': 'Д. Барнс'}}",10,,4713,19,19,M,True,2.0,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,,,,15.0,7.0,7.1,4.0,"{'original': 7.1, 'alternative': 7.1}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,2.0,1.0,,1.0,,1.0,,,,,England,
Chris Woods,,,chris-woods,C. Woods,G,188.0,1,cezp3t,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420682,EUR,-319766400,"{'nameTranslation': {'ar': 'كريس وودز', 'ru': 'Крис Вудс'}, 'shortNameTranslation': {'ar': 'ك. وودز', 'ru': 'К. Вудс'}}",,,4713,13,13,G,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Gary Bailey,,,gary-bailey,G. Bailey,G,188.0,1,6gtbvs,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420679,EUR,-359683200,"{'nameTranslation': {'ar': 'غاري بيلي', 'ru': 'Гэри Бейли'}, 'shortNameTranslation': {'ar': 'غ. بيلي', 'ru': 'Г. Бейли'}}",,,4713,22,22,G,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Gary Stevens,,,gary-stevens,G. Stevens,D,180.0,0,ekb9x5,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420680,EUR,-213580800,"{'nameTranslation': {'ar': 'غاري ستيفنز', 'ru': 'Гэри Стивенс'}, 'shortNameTranslation': {'ar': 'غ. ستيفنز', 'ru': 'Г. Стивенс'}}",,,4713,15,15,D,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Viv Anderson,,,viv-anderson,V. Anderson,D,184.0,2,km72ex,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420241,EUR,-423705600,"{'nameTranslation': {'ar': 'فيف أندرسون', 'ru': 'Вив Андерсон'}, 'shortNameTranslation': {'ar': 'ف. أندرسون', 'ru': 'В. Андерсон'}}",,,4713,12,12,D,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Alvin Martin,,,alvin-martin,A. Martin,D,184.0,1,vu2gqa,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420683,EUR,-363225600,"{'nameTranslation': {'ar': 'ألفين مارتن', 'ru': 'Алвин Мартин'}, 'shortNameTranslation': {'ar': 'أ. مارتن', 'ru': 'А. Мартин'}}",,,4713,5,5,D,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Bryan Robson,,,bryan-robson,B. Robson,M,176.0,12,8jq9c8,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420233,EUR,-409363200,"{'nameTranslation': {'ar': 'براين روبسون', 'ru': 'Брайан Робсон'}, 'shortNameTranslation': {'ar': 'ب. روبسون', 'ru': 'Б. Робсон'}}",12,,4713,7,7,M,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Ray Wilkins,,,ray-wilkins,R. Wilkins,M,,1,fpkvt5,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420230,EUR,-419644800,"{'nameTranslation': {'ar': 'راي ويلكينز', 'ru': 'Рэй Уилкинс'}, 'shortNameTranslation': {'ar': 'ر. ويلكينز', 'ru': 'Р. Уилкинс'}}",,M,4713,8,8,M,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Mark Hateley,,,mark-hateley,M. Hateley,F,190.0,1,rs9hft,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420674,EUR,-257212800,"{'nameTranslation': {'ar': 'مارك هاتلي', 'ru': 'Марк Хэйтли'}, 'shortNameTranslation': {'ar': 'م. هاتلي', 'ru': 'М. Хэйтли'}}",,,4713,9,9,F,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
Kerry Dixon,,,kerry-dixon,K. Dixon,F,183.0,1,ekb9xb,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1420684,EUR,-268963200,"{'nameTranslation': {'ar': 'كيري ديكسون', 'ru': 'Керри Диксон'}, 'shortNameTranslation': {'ar': 'ك. ديكسون', 'ru': 'К. Диксон'}}",,,4713,21,21,F,True,,,,,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,England,
