name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,penaltyShootoutSave,expectedGoals,expectedGoalsOnTarget,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,goalsPrevented,statisticsType,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialWon,wasFouled,fouls,outfielderBlock,penaltyConceded,keyPass,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,wonContest,blockedScoringAttempt,lastManTackle,bigChanceCreated,accurateCross,goals,totalOffside,penaltyShootoutGoal,penaltyWon,bigChanceMissed,penaltyShootoutMiss,teamName,captain
Ángel Di María,angel-di-maria,Á. Di María,M,11,180,87882,M,ADiMaria,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",30027,EUR,571795200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنخيل دي ماريا', 'bn': 'অ্যাঞ্জেল ডি মারিয়া', 'hi': 'एंजेल डि मारिया', 'ru': 'Анхель Ди Мария'}, 'shortNameTranslation': {'ar': 'أ. دي ماريا', 'bn': 'এ. ডি মারিয়া', 'hi': 'ए. डि मारिया', 'ru': 'А. Мария'}}",,,4819,11,11,F,False,27.0,26.0,2.0,2.0,0.0,12.0,13.0,14.0,,2.0,,,,,,,,64.0,48.0,8.3,10.0,,0.492,0.8957,0.158811,184.43570525479,18.0,79.086791699044,4.0,"{'original': 8.3, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14.0,3.0,1.0,5.0,7.0,2.0,1.0,,,3.0,34.748348087145,82.555816399292,,3.0,,,,3.0,,6.0,1.0,1.0,4.0,,,,,1.0,1.0,,1.0,,,Argentina,
Marcos Acuña,marcos-acuna,M. Acuña,D,21,172,9143,M,marcos.acuna10,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",578560,EUR,688608000,"{'value': 905000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس أكونيا', 'bn': 'মার্কোস আকুনা', 'hi': 'मार्कोस एक्यूना', 'ru': 'Маркус Акунья'}, 'shortNameTranslation': {'ar': 'م. أكونيا', 'bn': 'এম. আকুনা', 'hi': 'एम. एक्यूना', 'ru': 'М. Акунья'}}",Marcos,Acuna,4819,8,8,D,True,21.0,16.0,1.0,,0.0,5.0,6.0,15.0,1.0,4.0,,,,,,,,56.0,42.0,6.3,15.0,,0.0,0.0,0.225983,79.459377313169,10.0,28.577761028968,0.0,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11.0,4.0,1.0,9.0,4.0,1.0,,2.0,2.0,1.0,,,2.0,,2.0,,,2.0,3.0,2.0,,,,,,1.0,,,,,,,,Argentina,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,13179,M,gonzalo_montiel29,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",822933,EUR,852076800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'bn': 'গঞ্জালো মন্টিয়েল', 'hi': 'गोंजालो मोंटिएल', 'ru': 'Гонсало Монтьель'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'bn': 'জি. মন্টিয়েল', 'hi': 'जी. मोंटिएल', 'ru': 'Г. Монтьель'}}",Gonzalo,Montiel,4819,4,4,D,True,10.0,6.0,,,0.0,3.0,4.0,6.0,,1.0,,,,,,,,30.0,17.0,6.3,6.0,,0.0187,0.0,0.28314,38.880237106316,5.0,24.294627921179,0.0,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,1.0,1.0,4.0,2.0,2.0,,1.0,1.0,1.0,,,,1.0,2.0,,1.0,2.0,,,,,,1.0,,,,,,1.0,,,,Argentina,
Leandro Paredes,leandro-paredes,L. Paredes,M,5,180,48727,M,LeoParedes,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",255389,EUR,772848000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو باريديس', 'bn': 'লিয়ান্দ্রো পেরেদেস', 'hi': 'लिआंड्रो पारेडेस', 'ru': 'Леандро Паредес'}, 'shortNameTranslation': {'ar': 'ل. باريديس', 'bn': 'এল. পেরেদেস', 'hi': 'एल. पारेडेस', 'ru': 'Л. Паредес'}}",Leandro,Paredes,4819,5,5,M,True,15.0,15.0,1.0,1.0,0.0,7.0,7.0,8.0,,4.0,,,,,,,,18.0,18.0,6.8,,,0.0,0.0,0.0132937,42.329096188081,6.0,9.1898126269594,0.0,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,Argentina,
Lautaro Martínez,lautaro-martinez,L. Martínez,F,10,175,144323,M,LautaroM,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",823984,EUR,872208000,"{'value': 80000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لاوتارو مارتينيز', 'bn': 'লাউতারো মার্টিনেজ', 'hi': 'लौटारो मार्टिनेज़', 'ru': 'Лаутаро Мартинес'}, 'shortNameTranslation': {'ar': 'ل. مارتينيز', 'bn': 'এল. মার্টিনেজ', 'hi': 'एल. मार्टिनेज़', 'ru': 'Л. Мартинес'}}",Lautaro,Martinez,4819,22,22,F,True,8.0,6.0,,,0.0,2.0,2.0,6.0,,2.0,,,,,,,,17.0,13.0,6.0,3.0,,0.5928,0.1447,0.00931822,13.079872281173,3.0,8.3576587974419,1.0,"{'original': 6, 'alternative': 6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,,2.0,2.0,,,,,,1.0,4.8243827665912,5.46,,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,,2.0,,Argentina,
Germán Pezzella,german-pezzella,G. Pezzella,D,,187,3637,M,germanpezzella,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",158241,EUR,677980800,"{'value': 475000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرمان بيزيلا', 'bn': 'জার্মান পেজেলা', 'hi': 'जर्मन पेज़ेला', 'ru': 'Херман Песелья'}, 'shortNameTranslation': {'ar': 'ج. بيزيلا', 'bn': 'জি. পেজেলা', 'hi': 'जी. पेज़ेला', 'ru': 'Х. Песелья'}}",,,4819,6,6,D,True,1.0,1.0,,,0.0,,,1.0,,,,,,,,,,8.0,1.0,6.2,,,0.0,0.0,0.0001222,3.1119125951736,1.0,2.7463330882127,0.0,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,131163,M,LaJoya,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",256219,EUR,753321600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باولو ديبالا', 'bn': 'পাওলো দিবালা', 'hi': 'पाउलो डिबाला', 'ru': 'Пауло Дибала'}, 'shortNameTranslation': {'ar': 'ب. ديبالا', 'bn': 'পি. দিবালা', 'hi': 'पी. डिबाला', 'ru': 'П. Дибала'}}",Paulo,Dybala,4819,21,21,F,True,3.0,1.0,,,0.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,5.0,,2.0,,0.0,0.0,1.238e-05,4.2244261148705,1.0,1.067303368474,0.0,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,Argentina,
Gerónimo Rulli,geronimo-rulli,G. Rulli,G,28,189,19942,M,gerorulli,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",128383,EUR,706320000,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرونيمو رولي', 'bn': 'জেরোনিমো রুলি', 'hi': 'गेरोनिमो रुल्ली', 'ru': 'Херонимо Рульи'}, 'shortNameTranslation': {'ar': 'ج. رولي', 'bn': 'জি রুলি', 'hi': 'जी. रुल्ली', 'ru': 'Х. Рульи'}}",,,4819,12,12,G,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Franco Armani,franco-armani,F. Armani,G,34,189,3289,M,gvtkfi,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",221140,EUR,529804800,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانكو أرماني', 'bn': 'ফ্রাঙ্কো আরমানি', 'hi': 'फ्रेंको अरमानी', 'ru': 'Франко Армани'}, 'shortNameTranslation': {'ar': 'ف. أرماني', 'bn': 'এফ. আরমানি', 'hi': 'एफ. अरमानी', 'ru': 'Ф. Армани'}}",Franco,Armani,4819,1,1,G,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Lisandro Martínez,lisandro-martinez,L. Martínez,D,6,175,68372,M,LichaMartinez,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",859999,EUR,885081600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليساندرو مارتينيز', 'bn': 'লিসান্দ্রো মার্টিনেজ', 'hi': 'लिसांड्रो मार्टिनेज', 'ru': 'Лисандро Мартинес'}, 'shortNameTranslation': {'ar': 'ل. مارتينيز', 'bn': 'এল. মার্টিনেজ', 'hi': 'एल. मार्टिनेज', 'ru': 'Л. Мартинес'}}",,,4819,25,25,D,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
