name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,penaltyShootoutSave,expectedGoals,expectedGoalsOnTarget,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,goalsPrevented,statisticsType,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialWon,wasFouled,fouls,outfielderBlock,penaltyConceded,keyPass,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,wonContest,blockedScoringAttempt,lastManTackle,bigChanceCreated,accurateCross,goals,totalOffside,penaltyShootoutGoal,penaltyWon,bigChanceMissed,penaltyShootoutMiss,teamName,captain
Juan Foyth,juan-foyth,J. Foyth,D,8,187,7090,M,juanfoyth,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",873189,EUR,884563200,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'خوان فويث', 'bn': 'জুয়ান ফয়েথ', 'hi': 'जुआन फ़ोयथ', 'ru': 'Хуан Фойт'}, 'shortNameTranslation': {'ar': 'خ. فويث', 'bn': 'জে. ফয়থ', 'hi': 'जे. फ़ोयथ', 'ru': 'Х. Фойт'}}",Juan,Foyth,4819,2,2,D,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,2,185,4309,M,guiido_rodriguez,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",609752,EUR,766108800,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويدو رودريغيز', 'bn': 'গুইডো রদ্রিগেজ', 'hi': 'गुइडो रोड्रिग्ज़', 'ru': 'Гвидо Родригес'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'bn': 'জি. রদ্রিগেজ', 'hi': 'जी. रोड्रिग्ज़', 'ru': 'Г. Родригес'}}",Guido,Rodriguez,4819,18,18,M,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,16617,M,exepalaciosok,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",822600,EUR,907545600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إسيكييل بالاسيوس', 'bn': 'এক্সকুয়েল প্যালাসিওস', 'hi': 'एक्सेक्विएल पालासिओस', 'ru': 'Эсекьель Паласиос'}, 'shortNameTranslation': {'ar': 'إ. بالاسيوس', 'bn': 'ই. প্যালাসিওস', 'hi': 'ई. पालासिओस', 'ru': 'Э. Паласиос'}}",Exequiel,Palacios,4819,14,14,M,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Papu Gómez,papu-gomez,P. Gómez,M,10,165,3942,M,ElPapu,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",33381,EUR,571881600,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابو غوميز', 'bn': 'পাপু গোমেজ', 'hi': 'पापू गोमेज़', 'ru': 'Папу Гомес'}, 'shortNameTranslation': {'ar': 'ب. غوميز', 'bn': 'পি. গোমেজ', 'hi': 'पी. गोमेज़', 'ru': 'П. Гомес'}}",,,4819,17,17,M,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Ángel Correa,angel-correa,Á. Correa,M,10,171,17819,M,angelcorrea32,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",316152,EUR,794707200,"{'value': 8800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنخيل كوريا', 'bn': 'অ্যাঞ্জেল কোরেয়া', 'hi': 'एंजेल कोरीया', 'ru': 'Анхель Корреа'}, 'shortNameTranslation': {'ar': 'أ. كوريا', 'bn': 'এ. কোরেয়া', 'hi': 'ए. कोरीया', 'ru': 'А. Корреа'}}",,,4819,15,15,F,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Thiago Almada,thiago-almada,T. Almada,M,23,171,35331,M,thiago_almada23,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",944660,EUR,988243200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو ألمادا', 'bn': 'থিয়াগো আলমাদা', 'hi': 'थियागो अल्माडा', 'ru': 'Тьяго Альмада'}, 'shortNameTranslation': {'ar': 'ت. ألمادا', 'bn': 'টি. আলমাদা', 'hi': 'टी. अल्माडा', 'ru': 'Т. Альмада'}}",,,4819,16,16,M,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina,
Hugo Lloris,hugo-lloris,H. Lloris,G,1,188,5613,M,LlorisH,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",9048,EUR,535939200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو لوريس', 'bn': 'হুগো লরিস', 'hi': 'ह्यूगो लोरिस', 'ru': 'Уго Льорис'}, 'shortNameTranslation': {'ar': 'ه. لوريس', 'bn': 'এইচ. লরিস', 'hi': 'एच. लोरिस', 'ru': 'У. Льорис'}}",,,4481,1,1,G,False,36.0,18.0,28.0,10.0,0.0,10.0,13.0,23.0,2.0,8.0,,4.0,1.0,7.0,,1.0,1.0,120.0,51.0,7.7,18.0,,0.0,0.0,0.00361835,42.675330177382,6.0,12.305740419904,0.0,"{'original': 7.7, 'alternative': 7.7}",0,0.8696,"{'sportSlug': 'football', 'statisticsType': 'player'}",8.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,France,True
Jules Koundé,jules-kounde,J. Koundé,D,23,180,174117,M,JKounde,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",827212,EUR,910828800,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليس كوندي', 'bn': 'জুলস কাউন্ডে', 'hi': 'जूल्स कौंडे', 'ru': 'Жюль Кунде'}, 'shortNameTranslation': {'ar': 'ج. كوندي', 'bn': 'জে. কাউন্ডে', 'hi': 'जे. कौंडे', 'ru': 'Ж. Кунде'}}",Jules,Kounde,4481,5,5,D,False,62.0,49.0,4.0,3.0,0.0,30.0,40.0,22.0,2.0,7.0,,,,,,,,119.0,84.0,6.5,20.0,,0.0,0.0,0.00933473,152.96707187519,16.0,83.499778227851,2.0,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19.0,1.0,1.0,6.0,7.0,2.0,1.0,4.0,4.0,2.0,19.462654406825,53.827113388978,1.0,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,France,
Raphaël Varane,raphael-varane,R. Varane,D,,191,10772,M,raphael_varane,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",138310,EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'bn': 'রাফায়েল ভারানে', 'hi': 'रफएल वरने', 'ru': 'Рафаэль Варане'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'bn': 'আর. ভারানে', 'hi': 'आर. वरने', 'ru': 'Р. Варане'}}",,,4481,4,4,D,False,63.0,56.0,9.0,5.0,0.0,44.0,44.0,19.0,3.0,4.0,,,,,,,,113.0,71.0,6.5,7.0,,0.0,0.0,0.00430636,330.64238546722,33.0,196.18883122421,2.0,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12.0,,,,1.0,,1.0,,,,25.178137794957,47.000882560145,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,France,
Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,22074,M,Upamecano,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",798583,EUR,909446400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دايوت أوباميكانو', 'bn': 'ডেওট উপমেকানো', 'hi': 'दयोत उपामेकानो', 'ru': 'Дайот Упамекано'}, 'shortNameTranslation': {'ar': 'د. أوباميكانو', 'bn': 'ডি. উপমেকানো', 'hi': 'डी. उपामेकानो', 'ru': 'Д. Упамекано'}}",Dayot,Upamecano,4481,18,18,D,False,66.0,55.0,13.0,8.0,0.0,42.0,44.0,22.0,1.0,4.0,,,,,,,,120.0,74.0,6.7,13.0,,0.0,0.0,0.00356029,239.74808979016,29.0,147.67510679328,1.0,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13.0,,,1.0,4.0,,,1.0,,,20.936936426302,28.441245823627,3.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,France,
Theo Hernández,theo-hernandez,T. Hernández,D,19,184,30613,M,TheoHdez,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",788027,EUR,876096000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ثيو هيرنانديز', 'bn': 'থিও হার্নান্দেজ', 'hi': 'थियो हर्नांडेज़', 'ru': 'Тео Эрнандес'}, 'shortNameTranslation': {'ar': 'ث. هيرنانديز', 'bn': 'টি. হার্নান্দেজ', 'hi': 'टी. हर्नांडेज़', 'ru': 'Т. Эрнандес'}}",Theo,Hernandez,4481,22,22,D,False,37.0,30.0,5.0,3.0,0.0,15.0,19.0,18.0,,4.0,,,,,,,,71.0,61.0,6.8,15.0,,0.0,0.0,0.00872938,104.7343410941,11.0,11.512244859192,0.0,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15.0,3.0,2.0,3.0,8.0,,,3.0,2.0,2.0,,,1.0,3.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,France,
Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,170202,M,ATchouameni,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",859025,EUR,948931200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوريليان تشواميني', 'bn': 'অরেলিয়ান চৌমেনি', 'hi': 'ऑरेलियन टचौमेनी', 'ru': 'Орельен Тчуамени'}, 'shortNameTranslation': {'ar': 'أ. تشواميني', 'bn': 'এ. চৌমেনি', 'hi': 'ए. टचौमेनी', 'ru': 'О. Тчуамени'}}",Aurelien,Tchouameni,4481,8,8,M,False,70.0,52.0,4.0,2.0,0.0,22.0,27.0,43.0,2.0,9.0,,,,,,,,120.0,86.0,6.5,22.0,,0.0,0.0,0.0219302,128.75415965651,16.0,48.808023487452,1.0,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",30.0,,1.0,4.0,6.0,,2.0,1.0,1.0,3.0,15.821457583048,21.412475242251,1.0,2.0,2.0,,,,,3.0,,,2.0,,,,,,,,,,1.0,France,
Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,16175,M,adrienrabiot_25,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",250737,EUR,796867200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان رابيو', 'bn': 'অ্যাড্রিয়েন রাবিওট', 'hi': 'एड्रियन रेबियोट', 'ru': 'Адриен Рабьо'}, 'shortNameTranslation': {'ar': 'أ. رابيو', 'bn': 'এ. রাবিওট', 'hi': 'ए. रेबियोट', 'ru': 'А. Рабьо'}}",Adrien,Rabiot,4481,14,14,M,False,52.0,41.0,3.0,1.0,0.0,22.0,24.0,28.0,2.0,7.0,,,,,,,,96.0,69.0,7.0,12.0,,0.0554,0.0207,0.0120219,172.62406543151,15.0,75.733755966412,2.0,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19.0,1.0,,4.0,7.0,1.0,3.0,2.0,1.0,,20.383846308851,65.546409881341,2.0,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,France,
Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,389988,M,ODembele,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",818244,EUR,863654400,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عثمان ديمبيلي', 'bn': 'উসমান ডেম্বেলে', 'hi': 'उस्मान डेम्बेले', 'ru': 'Усман Дембеле'}, 'shortNameTranslation': {'ar': 'ع. ديمبيلي', 'bn': 'ও. ডেম্বেলে', 'hi': 'ओ. डेम्बेले', 'ru': 'У. Дембеле'}}",Ousmane,Dembele,4481,11,11,M,False,12.0,9.0,1.0,1.0,0.0,4.0,6.0,6.0,,2.0,,,,,,,,41.0,17.0,5.7,7.0,,0.0,0.0,0.0050929,39.659537803617,4.0,21.309444174522,0.0,"{'original': 5.7, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,1.0,,5.0,,2.0,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,France,
Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,113984,M,AGriez,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",85859,EUR,669513600,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان غريزمان', 'bn': 'অ্যান্টোইন গ্রিজম্যান', 'hi': 'एंटोनी ग्रीज़मैन', 'ru': 'Антуан Гризманн'}, 'shortNameTranslation': {'ar': 'أ. غريزمان', 'bn': 'এ. গ্রিজম্যান', 'hi': 'ए. ग्रीज़मैन', 'ru': 'А. Гризманн'}}",,,4481,7,7,M,False,26.0,20.0,1.0,1.0,0.0,11.0,12.0,14.0,2.0,2.0,,,,,,,,71.0,46.0,6.9,11.0,,0.0,0.0,0.0941049,22.118986663701,3.0,6.3489417210912,0.0,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9.0,5.0,1.0,3.0,6.0,,2.0,3.0,,,,,1.0,1.0,,,,1.0,1.0,2.0,,,1.0,,,,2.0,,,,,,,France,
Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,180,2490094,M,KMbappe,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",826643,EUR,914112000,"{'value': 212000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيليان مبابي', 'bn': 'কিলিয়ান এমবাপ্পে', 'hi': 'किलियन एमबाप्पे', 'ru': 'Килиан Мбаппе'}, 'shortNameTranslation': {'ar': 'ك. مبابي', 'bn': 'কে. এমবাপ্পে', 'hi': 'के. एमबाप्पे', 'ru': 'К. Мбаппе'}}",,,4481,10,10,M,False,21.0,16.0,2.0,1.0,0.0,4.0,4.0,17.0,,5.0,,,,,,,,120.0,47.0,8.8,15.0,,1.7998,2.2597,0.0247522,180.52983308446,16.0,119.33849867338,4.0,"{'original': 8.8, 'alternative': 8.8}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12.0,3.0,,7.0,4.0,,,,,1.0,26.327956659948,100.53227089274,,,2.0,,,,,9.0,1.0,3.0,4.0,2.0,,,,3.0,2.0,1.0,,,,France,
Olivier Giroud,olivier-giroud,O. Giroud,F,9,192,24522,M,OGiroud,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",39070,EUR,528422400,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفييه جيرو', 'bn': 'অলিভিয়ার গিরুড', 'hi': 'ओलिवियर गिरौड', 'ru': 'Оливье Жиру'}, 'shortNameTranslation': {'ar': 'أ. جيرو', 'bn': 'ও. গিরুড', 'hi': 'ओ. गिरौड', 'ru': 'О. Жиру'}}",,,4481,9,9,F,False,9.0,5.0,,,0.0,2.0,4.0,5.0,1.0,,,,,,,,,41.0,12.0,6.7,4.0,,0.0,0.0,0.00245903,,,,,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,1.0,1.0,6.0,,,1.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,France,
Randal Kolo Muani,randal-kolo-muani,R. Kolo Muani,F,9,187,27790,M,RKM,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",871706,EUR,912816000,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راندا كولو مواني', 'bn': 'রান্ডাল কোলো মুয়ানি', 'hi': 'रैंडल कोलो मुआनी', 'ru': 'Рандал Коло Муани'}, 'shortNameTranslation': {'ar': 'ر. مواني', 'bn': 'আর. কে. মুয়ানি', 'hi': 'आर.के. मुआनी', 'ru': 'Р. Муани'}}",Randal,Kolo Muani,4481,12,12,F,True,18.0,12.0,,,0.0,4.0,5.0,13.0,,7.0,,,,,,,,79.0,40.0,7.4,17.0,,0.3916,0.5522,0.0137223,132.08574469102,11.0,-15.460248078853,1.0,"{'original': 7.4, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8.0,1.0,1.0,9.0,13.0,,,3.0,2.0,5.0,17.620018878134,18.50608767406,5.0,4.0,3.0,,,,3.0,3.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,France,
Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,31479,M,m_thuram,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",791702,EUR,870825600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تورام', 'bn': 'থুরাম, মার্কাস', 'hi': 'थुरम, मार्कस', 'ru': 'Маркус Тюрам'}, 'shortNameTranslation': {'ar': 'م. تورام', 'bn': 'এম. থুরাম', 'hi': 'एम. मार्कस', 'ru': 'М. Тюрам'}}",Marcus,Thuram,4481,26,26,F,True,19.0,12.0,2.0,1.0,1.0,4.0,4.0,15.0,1.0,4.0,,,,,,,,79.0,38.0,7.1,13.0,,0.0,0.0,0.0586491,40.400275110493,5.0,27.573120231926,1.0,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8.0,1.0,1.0,4.0,9.0,,,1.0,,2.0,16.874618075189,17.598699980396,4.0,1.0,2.0,,,1.0,,5.0,,,3.0,,,,,,1.0,,,,,France,
Kingsley Coman,kingsley-coman,K. Coman,M,21,178,35893,M,KingComan,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",280441,EUR,834624000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كينغسلي كومان', 'bn': 'কিংসলে কোমান', 'hi': 'किंग्सले कोमन', 'ru': 'Кингсли Коман'}, 'shortNameTranslation': {'ar': 'ك. كومان', 'bn': 'কে. কোমান', 'hi': 'के. कोमन', 'ru': 'К. Коман'}}",Kingsley,Coman,4481,20,20,F,True,7.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,,7.0,,,,,,,,49.0,31.0,6.6,14.0,,0.0,0.0,0.0247891,111.33533633035,7.0,49.462457279191,1.0,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,7.0,1.0,5.0,6.0,1.0,,3.0,2.0,2.0,20.431634820186,57.721912269085,,1.0,,,,,3.0,2.0,,,2.0,,,,1.0,,,,,,1.0,France,
Eduardo Camavinga,eduardo-camavinga,E. Camavinga,M,6,182,206945,M,Tacklevinga,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",973887,EUR,1036886400,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدواردو كامافينغا', 'bn': 'কামাভিঙ্গা, এডুয়ার্ডো', 'hi': 'कैमाविंगा, एडुआर्डो', 'ru': 'Эдуардо Камавинга'}, 'shortNameTranslation': {'ar': 'إ. كامافينغا', 'bn': 'ই. কামাভিঙ্গা', 'hi': 'ई. एडुआर्डो', 'ru': 'Э. Камавинга'}}",Eduardo,Camavinga,4481,25,25,M,True,21.0,19.0,,,0.0,13.0,14.0,7.0,,6.0,,,,,,,,49.0,36.0,7.1,3.0,,0.0,0.0,0.0338302,81.461464931396,8.0,35.666568562289,1.0,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,,,3.0,7.0,1.0,,3.0,3.0,,39.37237457806,40.951411453087,,3.0,1.0,,,2.0,,2.0,,,1.0,,,,,,,,,,,France,
Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6871,M,YFofana19_,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",945062,EUR,915926400,"{'value': 25000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوسوف فوفانا', 'bn': 'ইউসুফ ফোফানা', 'hi': 'यूसुफ़ फ़ोफ़ाना', 'ru': 'Юссуф Фофана'}, 'shortNameTranslation': {'ar': 'ي. فوفانا', 'bn': 'ওয়াই. ফোফানা', 'hi': 'वाई. फ़ोफ़ाना', 'ru': 'Ю. Фофана'}}",,,4481,13,13,M,True,12.0,10.0,1.0,,0.0,5.0,6.0,6.0,,2.0,,,,,,,,24.0,18.0,6.6,3.0,,0.0232,0.0,0.00273908,46.446938391107,4.0,17.753575482666,1.0,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,,,2.0,3.0,1.0,,1.0,,,24.716631876955,27.933654540715,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,France,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,16,195,64161,M,ibrahimakonate,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",826215,EUR,927590400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'bn': 'ইব্রাহিম কোনাতে', 'hi': 'इब्राहीमा कोनाटे', 'ru': 'Ибрагима Конате'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'bn': 'আই. কোনাতে', 'hi': 'आई. कोनाटे', 'ru': 'И. Конате'}}",Ibrahima,Konate,4481,24,24,D,True,1.0,1.0,1.0,1.0,0.0,,,1.0,2.0,,,,,,,,,11.0,5.0,7.1,1.0,,0.0,0.0,0.238336,8.7306247771852,1.0,1.2847268902113,0.0,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,France,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,10947,M,axel_disasi,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",827243,EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'bn': 'অ্যাক্সেল ডিসাসি', 'hi': 'एक्सल डिसासी', 'ru': 'Аксель Дисаси'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'bn': 'এ. ডিসাসি', 'hi': 'ए. डिसासी', 'ru': 'А. Дисаси'}}",Axel,Disasi,4481,3,3,D,True,,,,,0.0,,,,,,,,,,,,,1.0,,,,,0.0,0.0,0.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,
Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,826,M,c6w6gi,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",27029,EUR,480816000,,"{'nameTranslation': {'ar': 'ستيف مانداندا', 'bn': 'স্টিভ মান্দান্দা', 'hi': 'स्टीव मंडांडा', 'ru': 'Стив Манданда'}, 'shortNameTranslation': {'ar': 'س. مانداندا', 'bn': 'এস. মান্দান্দা', 'hi': 'एस. मंडांडा', 'ru': 'С. Манданда'}}",,,4481,16,16,G,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3286,M,uzq2sn,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",96531,EUR,730771200,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'bn': 'আলফোনস আরেওলা', 'hi': 'अल्फोंस एरियोला', 'ru': 'Алфонс Ареола'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'bn': 'এ. আরেওলা', 'hi': 'ए. एरियोला', 'ru': 'А. Ареола'}}",,,4481,23,23,G,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,
Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,11955,M,benpavard21,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",787505,EUR,827971200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين بافارد', 'bn': 'বেঞ্জামিন পাভার্ড', 'hi': 'बेंजामिन पावर्ड', 'ru': 'Бенжамен Павар'}, 'shortNameTranslation': {'ar': 'ب. بافارد', 'bn': 'বি. পাভার্ড', 'hi': 'बी. पावर्ड', 'ru': 'Б. Павар'}}",Benjamin,Pavard,4481,2,2,D,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,
