id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1422023,0.0,5,0.0,4.0,4.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,90.0,76.0,123.0,11.0,13.0,0.0,220.0,Gabriel Popescu,1,1998,1998,3
1422024,1.0,19,7.0,7.0,20.0,12.0,10.0,4.0,1.0,0.0,0.0,2.0,7.0,1.0,94.0,67.0,205.0,30.0,35.0,1.0,315.0,Adrian Ilie,1,1998,1998,4
1422025,0.0,0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,54.0,43.0,80.0,9.0,7.0,0.0,123.0,Lucian Marinescu,1,1998,1998,4
1422026,0.0,1,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,17.0,32.0,3.0,6.0,0.0,34.0,Radu Niculescu,1,1998,1998,2
1422027,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,9.0,18.0,2.0,2.0,0.0,31.0,Cristian Dulca,1,1998,1998,1
1422031,0.0,1,0.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,70.0,126.0,18.0,11.0,0.0,270.0,Jorge Bermúdez,1,1998,1998,3
1422033,0.0,1,0.0,0.0,1.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,68.0,55.0,113.0,8.0,10.0,0.0,180.0,José Santa,1,1998,1998,2
1422037,0.0,3,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,14.0,32.0,3.0,7.0,0.0,45.0,Hamilton Ricard,1,1998,1998,1
1422038,0.0,0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,16.0,25.0,4.0,4.0,0.0,28.0,Jorge Bolaño    Fallecido,1,1998,1998,1
1422039,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,40.0,35.0,55.0,1.0,3.0,0.0,90.0,Antonio Moreno,1,1998,1998,1
