id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,totalOppositionHalfPasses,accurateOppositionHalfPasses,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played,goals_per90,totalShots_per90,onTargetScoringAttempt_per90,totalContest_per90,wonContest_per90,wasFouled_per90,keyPass_per90,goalAssist_per90,bigChanceCreated_per90,totalCross_per90,accurateCross_per90,totalPass_per90,accuratePass_per90,totalOppositionHalfPasses_per90,accurateOppositionHalfPasses_per90,touches_per90,finisher_score,dribbler_score,chance_creator_score,play_organizer_score,finisher_score_elite_90,dribbler_score_elite_90,chance_creator_score_elite_90,play_organizer_score_elite_90,n_elite_roles_90,finisher_score_elite_95,dribbler_score_elite_95,chance_creator_score_elite_95,play_organizer_score_elite_95,n_elite_roles_95,finisher_score_elite_99,dribbler_score_elite_99,chance_creator_score_elite_99,play_organizer_score_elite_99,n_elite_roles_99,finisher_score_elite_85,dribbler_score_elite_85,chance_creator_score_elite_85,play_organizer_score_elite_85,n_elite_roles_85,role_score_range,role_score_std,role_score_avg
9965,0.0,4,1.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,300.0,267.0,421.0,38.0,17.0,0.0,89.0,64.0,690.0,Ron Vlaar,1,2014,2014,7,0.0,0.5217391304347826,0.1304347826086956,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,39.130434782608695,34.826086956521735,11.608695652173912,8.347826086956522,54.91304347826087,32.90460878885316,6.089228295819936,18.938906752411576,37.809485530546624,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,31.720257234726688,14.333966010566323,23.935557341907824
10086,1.0,13,4.0,6.0,22.0,6.0,3.0,9.0,5.0,0.0,0.0,2.0,9.0,1.0,104.0,80.0,206.0,20.0,37.0,0.0,81.0,58.0,363.0,Salomon Kalou,2,2010,2014,6,0.2479338842975206,3.2231404958677685,0.9917355371900828,5.454545454545455,1.487603305785124,0.7438016528925621,1.2396694214876034,0.0,0.0,2.231404958677686,0.2479338842975206,25.785123966942148,19.83471074380165,20.08264462809917,14.3801652892562,51.074380165289256,85.28938906752411,66.72695605573419,49.63424437299036,32.82154340836013,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,52.467845659163984,22.53355424658114,58.6180332261522
10205,0.0,3,2.0,1.0,3.0,1.0,4.0,10.0,4.0,1.0,2.0,0.0,26.0,6.0,122.0,77.0,215.0,12.0,20.0,0.0,79.0,48.0,359.0,Eddie Lewis,2,2002,2006,5,0.0,0.7520891364902507,0.5013927576601671,0.7520891364902507,0.2506963788300835,1.0027855153203342,1.0027855153203342,0.2506963788300835,0.5013927576601671,6.518105849582173,1.504178272980501,30.584958217270195,19.303621169916436,19.805013927576603,12.03342618384401,53.899721448467965,47.28027867095391,34.478831725616296,85.4943729903537,33.59324758842443,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,True,False,1,51.901125401929264,24.33896977446074,50.21168274383709
10271,0.0,3,1.0,1.0,7.0,6.0,5.0,2.0,3.0,0.0,1.0,0.0,15.0,4.0,73.0,46.0,177.0,28.0,9.0,0.0,45.0,22.0,270.0,Carlos Edwards,1,2006,2006,3,0.0,1.0,0.3333333333333333,2.333333333333333,2.0,1.6666666666666667,1.0,0.0,0.3333333333333333,5.0,1.3333333333333333,24.33333333333333,15.333333333333334,15.0,7.333333333333333,59.0,46.516613076098615,74.37700964630226,71.60771704180064,22.118167202572344,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,52.25884244372991,24.476043550594987,53.65487674169346
10438,0.0,6,1.0,4.0,9.0,5.0,8.0,16.0,5.0,0.0,0.0,0.0,9.0,1.0,326.0,292.0,436.0,36.0,42.0,0.0,165.0,137.0,511.0,Cheik Tiote,2,2010,2014,6,0.0,1.0567514677103718,0.1761252446183953,1.5851272015655578,0.8806262230919765,1.4090019569471623,0.8806262230919765,0.0,0.0,1.5851272015655578,0.1761252446183953,57.416829745596864,51.42857142857142,29.060665362035223,24.12915851272016,76.79060665362034,41.5058949624866,57.462486602357984,43.41237942122186,87.23874598070739,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,True,1,45.73285101822079,21.12368872100376,57.40487674169346
10581,0.0,2,0.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,107.0,192.0,25.0,25.0,0.0,23.0,14.0,390.0,Jay DeMerit,1,2010,2010,4,0.0,0.4615384615384615,0.0,0.0,0.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,28.15384615384616,24.692307692307693,5.307692307692308,3.230769230769231,44.30769230769232,25.522508038585205,8.909431939978564,18.938906752411576,14.959807073954982,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,16.61307609860664,6.975787850055387,17.08266345123258
10589,0.0,1,0.0,1.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,0.0,20.0,5.0,179.0,153.0,295.0,10.0,19.0,0.0,97.0,73.0,462.0,Ashley Young,1,2018,2018,5,0.0,0.1948051948051948,0.0,0.3896103896103896,0.3896103896103896,0.5844155844155844,0.974025974025974,0.1948051948051948,0.1948051948051948,3.896103896103896,0.974025974025974,34.870129870129865,29.8051948051948,18.89610389610389,14.22077922077922,57.46753246753247,20.30412647374062,25.415326902465164,74.36495176848875,46.10932475884244,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,54.06082529474813,24.5582525834286,41.54843247588424
10621,1.0,16,7.0,5.0,58.0,21.0,13.0,12.0,11.0,0.0,1.0,4.0,48.0,12.0,163.0,117.0,391.0,58.0,106.0,0.0,127.0,86.0,663.0,Ki Hyeon Seol,2,2002,2006,9,0.1357466063348416,2.1719457013574663,0.9502262443438916,7.873303167420815,2.8506787330316743,1.7647058823529411,1.493212669683258,0.0,0.1357466063348416,6.515837104072398,1.6289592760180995,22.126696832579185,15.882352941176473,17.23981900452489,11.67420814479638,53.07692307692308,77.06323687031083,88.2368703108253,71.77652733118971,24.690514469453376,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,True,False,False,1,63.54635584137192,28.02064160672806,65.4417872454448
10692,0.0,1,0.0,1.0,1.0,1.0,3.0,4.0,6.0,0.0,3.0,0.0,7.0,3.0,93.0,60.0,194.0,18.0,14.0,0.0,55.0,32.0,352.0,Mikael Lustig,1,2018,2018,4,0.0,0.2556818181818182,0.0,0.2556818181818182,0.2556818181818182,0.7670454545454546,1.5340909090909092,0.0,0.7670454545454546,1.7897727272727273,0.7670454545454546,23.77840909090909,15.340909090909092,14.0625,8.181818181818182,49.60227272727273,21.78456591639872,23.35209003215434,70.008038585209,16.961414790996788,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,53.04662379421221,24.803873683122127,33.02652733118971
10710,0.0,29,6.0,20.0,29.0,13.0,28.0,31.0,11.0,0.0,3.0,3.0,37.0,6.0,1199.0,1098.0,1660.0,128.0,95.0,0.0,643.0,576.0,1577.0,Sergio Ramos,4,2006,2018,17,0.0,1.6550412175015854,0.3424223208623969,1.6550412175015854,0.7419150285351934,1.5979708306911855,0.6277742549143944,0.0,0.1712111604311984,2.1116043119847814,0.3424223208623969,68.427393785669,62.66328471781864,36.69625871908688,32.87254280279011,94.73684210526316,53.09485530546624,57.90460878885316,53.29983922829582,96.37459807073957,False,False,False,True,1,False,False,False,True,1,False,False,False,False,0,False,False,False,True,1,43.279742765273326,20.92225829946976,65.1684753483387
