id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,totalOppositionHalfPasses,accurateOppositionHalfPasses,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played,goals_per90,totalShots_per90,onTargetScoringAttempt_per90,totalContest_per90,wonContest_per90,wasFouled_per90,keyPass_per90,goalAssist_per90,bigChanceCreated_per90,totalCross_per90,accurateCross_per90,totalPass_per90,accuratePass_per90,totalOppositionHalfPasses_per90,accurateOppositionHalfPasses_per90,touches_per90
14120,1.0,3,1.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,83.0,53.0,142.0,21.0,14.0,0.0,35.0,11.0,270.0,Winston Reid,1,2010,2010,3,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,27.666666666666668,17.666666666666668,11.666666666666666,3.6666666666666665,47.333333333333336
14468,1.0,23,4.0,11.0,19.0,15.0,11.0,8.0,23.0,1.0,3.0,0.0,16.0,4.0,542.0,476.0,676.0,35.0,37.0,0.0,374.0,313.0,810.0,Yaya Touré,3,2006,2014,9,0.1111111111111111,2.5555555555555554,0.4444444444444444,2.111111111111111,1.6666666666666667,1.2222222222222223,2.5555555555555554,0.1111111111111111,0.3333333333333333,1.7777777777777777,0.4444444444444444,60.22222222222222,52.888888888888886,41.55555555555556,34.77777777777778,75.11111111111111
14480,0.0,0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,37.0,107.0,15.0,14.0,0.0,26.0,14.0,270.0,Jamba,1,2006,2006,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,18.666666666666668,12.333333333333334,8.666666666666666,4.666666666666667,35.666666666666664
14484,0.0,2,0.0,2.0,6.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,10.0,3.0,81.0,61.0,156.0,9.0,15.0,0.0,53.0,38.0,270.0,Loco,1,2006,2006,3,0.0,0.6666666666666666,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,3.3333333333333335,1.0,27.0,20.333333333333332,17.666666666666668,12.666666666666666,52.0
14506,0.0,2,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,68.0,125.0,14.0,6.0,0.0,25.0,15.0,270.0,Dare Nibombe,1,2006,2006,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,28.333333333333332,22.666666666666668,8.333333333333334,5.0,41.666666666666664
14601,0.0,2,1.0,1.0,5.0,3.0,3.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,110.0,92.0,180.0,29.0,18.0,0.0,35.0,23.0,297.0,Pierre Issa,2,1998,2002,4,0.0,0.6060606060606061,0.30303030303030304,1.5151515151515151,0.9090909090909092,0.9090909090909092,0.6060606060606061,0.30303030303030304,0.0,0.30303030303030304,0.0,33.333333333333336,27.87878787878788,10.606060606060607,6.96969696969697,54.54545454545455
14607,1.0,9,3.0,6.0,3.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,21.0,5.0,137.0,108.0,203.0,10.0,14.0,0.0,91.0,64.0,270.0,Siphiwe Tshabalala,1,2010,2010,3,0.3333333333333333,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,7.0,1.6666666666666667,45.666666666666664,36.0,30.333333333333332,21.333333333333332,67.66666666666667
14650,0.0,8,1.0,6.0,9.0,6.0,4.0,13.0,7.0,0.0,0.0,0.0,40.0,5.0,425.0,322.0,723.0,37.0,30.0,0.0,297.0,210.0,870.0,John Paintsil,2,2006,2010,9,0.0,0.8275862068965518,0.10344827586206898,0.9310344827586208,0.6206896551724138,0.4137931034482759,0.7241379310344828,0.0,0.0,4.137931034482759,0.5172413793103449,43.96551724137931,33.310344827586206,30.724137931034484,21.724137931034484,74.79310344827587
14797,0.0,2,0.0,2.0,0.0,0.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,185.0,142.0,325.0,57.0,21.0,0.0,80.0,52.0,660.0,Yuji Nakazawa,2,2006,2010,7,0.0,0.27272727272727276,0.0,0.0,0.0,3.272727272727273,0.13636363636363638,0.0,0.0,0.0,0.0,25.227272727272727,19.363636363636363,10.90909090909091,7.090909090909091,44.31818181818182
14838,0.0,2,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,174.0,140.0,266.0,37.0,16.0,0.0,55.0,31.0,472.0,Madjid Bougherra,2,2010,2014,6,0.0,0.3813559322033898,0.1906779661016949,0.1906779661016949,0.1906779661016949,0.7627118644067796,0.1906779661016949,0.0,0.0,0.9533898305084746,0.0,33.17796610169491,26.694915254237287,10.48728813559322,5.911016949152542,50.720338983050844
14914,0.0,7,1.0,5.0,0.0,0.0,2.0,7.0,2.0,0.0,1.0,3.0,0.0,0.0,338.0,305.0,438.0,40.0,14.0,0.0,84.0,68.0,720.0,Ezequiel Garay,1,2014,2014,7,0.0,0.875,0.125,0.0,0.0,0.25,0.25,0.0,0.125,0.0,0.0,42.25,38.125,10.5,8.5,54.75
14915,0.0,10,3.0,7.0,11.0,5.0,10.0,12.0,6.0,1.0,1.0,5.0,1.0,0.0,111.0,81.0,190.0,37.0,32.0,0.0,85.0,59.0,383.0,Guillermo Franco,2,2006,2010,7,0.0,2.349869451697128,0.7049608355091384,2.5848563968668405,1.174934725848564,2.349869451697128,1.4099216710182767,0.2349869451697128,0.2349869451697128,0.2349869451697128,0.0,26.08355091383812,19.033942558746737,19.973890339425587,13.864229765013055,44.64751958224543
14920,1.0,9,4.0,2.0,28.0,17.0,23.0,13.0,28.0,3.0,4.0,1.0,55.0,10.0,1314.0,1170.0,1806.0,108.0,62.0,0.0,673.0,577.0,1920.0,Philipp Lahm,3,2006,2014,20,0.046875,0.421875,0.1875,1.3125,0.796875,1.078125,1.3125,0.140625,0.1875,2.578125,0.46875,61.59375,54.84375,31.546875,27.046875,84.65625
14933,1.0,6,2.0,4.0,12.0,8.0,18.0,14.0,4.0,0.0,1.0,2.0,0.0,0.0,578.0,473.0,825.0,112.0,62.0,1.0,224.0,155.0,1367.0,Diego Godín,4,2010,2022,16,0.06583760058522312,0.3950256035113387,0.13167520117044623,0.7900512070226774,0.5267008046817849,1.1850768105340161,0.26335040234089246,0.0,0.06583760058522312,0.0,0.0,38.05413313825896,31.141185076810537,14.747622531089979,10.204828090709583,54.31602048280907
14942,1.0,19,2.0,11.0,26.0,16.0,9.0,11.0,16.0,1.0,2.0,0.0,33.0,8.0,385.0,328.0,579.0,49.0,53.0,1.0,246.0,204.0,890.0,Andrés Guardado,5,2006,2022,13,0.10112359550561797,1.9213483146067416,0.20224719101123595,2.629213483146067,1.6179775280898876,0.9101123595505618,1.6179775280898876,0.10112359550561797,0.20224719101123595,3.337078651685393,0.8089887640449438,38.93258426966292,33.168539325842694,24.876404494382022,20.629213483146067,58.550561797752806
14954,1.0,13,5.0,5.0,5.0,4.0,4.0,10.0,7.0,1.0,1.0,1.0,5.0,1.0,458.0,374.0,567.0,31.0,42.0,0.0,270.0,192.0,780.0,Michael Bradley,2,2010,2014,8,0.11538461538461539,1.5,0.576923076923077,0.576923076923077,0.46153846153846156,0.46153846153846156,0.8076923076923077,0.11538461538461539,0.11538461538461539,0.576923076923077,0.11538461538461539,52.84615384615385,43.15384615384615,31.153846153846157,22.153846153846157,65.42307692307693
14990,1.0,16,7.0,7.0,3.0,0.0,7.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,119.0,92.0,187.0,17.0,26.0,2.0,78.0,56.0,444.0,Edin Džeko,2,2014,2026,6,0.2027027027027027,3.243243243243243,1.4189189189189189,0.6081081081081081,0.0,1.4189189189189189,0.8108108108108107,0.0,0.0,0.0,0.0,24.12162162162162,18.64864864864865,15.81081081081081,11.35135135135135,37.9054054054054
15156,1.0,10,4.0,3.0,9.0,5.0,10.0,16.0,0.0,0.0,0.0,1.0,2.0,0.0,54.0,39.0,123.0,33.0,48.0,0.0,38.0,23.0,270.0,Reza Ghoochannejhad,1,2014,2014,3,0.3333333333333333,3.3333333333333335,1.3333333333333333,3.0,1.6666666666666667,3.3333333333333335,0.0,0.0,0.0,0.6666666666666666,0.0,18.0,13.0,12.666666666666666,7.666666666666667,41.0
