id,name,finisher_score,dribbler_score,chance_creator_score,play_organizer_score,finisher_score_elite_90,dribbler_score_elite_90,chance_creator_score_elite_90,play_organizer_score_elite_90,n_elite_roles_90,finisher_score_elite_95,dribbler_score_elite_95,chance_creator_score_elite_95,play_organizer_score_elite_95,n_elite_roles_95,finisher_score_elite_99,dribbler_score_elite_99,chance_creator_score_elite_99,play_organizer_score_elite_99,n_elite_roles_99,finisher_score_elite_85,dribbler_score_elite_85,chance_creator_score_elite_85,play_organizer_score_elite_85,n_elite_roles_85,role_score_range,role_score_std,role_score_avg,minutesPlayed,world_cups_played
1,Robin van Persie,88.35744908896034,67.79876741693462,69.84726688102894,14.839228295819936,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,73.5182207931404,31.629375150612972,60.21067792068596,1484.0,3
2,Ashley Cole,26.098606645230443,62.98901393354769,49.83520900321544,53.45659163987138,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,36.89040728831725,15.678519954323153,48.09485530546624,1275.0,3
3,Patrick Vieira,69.78161843515541,78.7379421221865,50.29742765273312,87.516077170418,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,True,1,37.21864951768488,15.930858004718068,71.58326634512325,942.0,3
8,Dennis Bergkamp,94.38638799571277,82.90460878885317,81.06913183279742,43.60128617363343,True,False,False,False,1,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,50.78510182207933,22.061026598834754,75.4903536977492,989.0,2
11,Thierry Henry,94.45337620578778,81.43086816720258,71.21382636655947,23.681672025723472,True,False,False,False,1,False,False,False,False,0,False,False,False,False,0,True,False,False,False,1,70.7717041800643,30.844988516936983,67.69493569131832,1169.0,4
67,Raymond Kalla,42.02840300107181,10.121918542336548,20.860128617363344,21.744372990353696,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,31.90648445873526,13.318952522308207,23.68870578778135,673.0,3
90,Sebastian Kehl,44.92899249732047,35.76500535905681,50.54260450160772,66.86897106109323,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,31.103965702036426,13.067894255355421,49.52639335476955,368.0,2
95,Christian Wörns,17.85235798499464,53.45659163987138,31.229903536977496,43.34807073954984,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,35.60423365487674,15.383187205447932,36.471730975348336,400.0,1
123,Vidar Riseth,31.919882100750268,43.636120042872456,75.57073954983922,9.011254019292606,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,66.55948553054661,27.713322927833072,40.03449892818864,287.0,1
184,Nico Van Kerckhoven,36.006162915326904,40.447481243301176,52.19453376205788,57.0257234726688,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,False,False,False,False,0,21.019560557341897,9.83099832799032,46.41847534833869,270.0,2
